report_period,publication_date,source_sha256,province,period,rank,source_page
2021-Q4,2022-08-09,5dd361e9c901bcfe6bc2f7ce192daa83b8fef788976f2df3db52dfd12571813b,Santiago del Estero,2015-Q1,3,24
2022-Q1,2022-10-19,6975c9639421e67f81238801f4a343ceeb14fc299383b18efd1d32df9b8f7b12,Santiago del Estero,2015-Q2,3,24
2022-Q2,2023-02-02,a23d02213fc4c6a974ebf2d34b726c567b95cf0df7d0995c9b5f511a7503bab1,Santiago del Estero,2015-Q3,4,24
2022-Q3,2023-02-16,b5d0eb9f71642eaffda2b3dcae5110328873602b52417d018641c39dfd547029,Santiago del Estero,2015-Q4,5,24
2022-Q4,2023-06-26,84b37e726c99167e3fbd7d498dd584aababb19c153d2de8d6cdddad548c4c263,Santiago del Estero,2016-Q1,5,24
2023-Q1,2023-10-06,6a408f517031a1915fb549666b0cfe3278e1d149e611348a9247f7149c8fdbc6,Santiago del Estero,2016-Q2,4,24
2023-Q2,2023-12-12,b0e92b275ee9b61975ba2ca2b607246904f791c20157a96a5cbc7738918fa5d0,Santiago del Estero,2016-Q3,4,24
2023-Q3,2024-03-05,b365e71cf4e718cdf3db07720cefc574b932debed6fe382d9628df870ccd179e,Santiago del Estero,2016-Q4,4,24
2023-Q4,2024-06-10,b95d59f1ef51df68021c8d73bf66bf85c122e7211c51bc38a13da076228b088a,Santiago del Estero,2017-Q1,4,24
2024-Q1,2024-09-06,88962b9e12150178f7b5ba3d6560e2144abe59ecf4e0ba4decc32cfafcffb910,Santiago del Estero,2017-Q2,4,24
2024-Q2,2024-12-10,c71ad5ebdf037d9baa031c10a313f8a3516da21ff628259f5480beea09c222ef,Santiago del Estero,2017-Q3,4,24
2024-Q3,2025-02-19,f9b23bf348d53502965203a1abaedb853f177efaf0d69e877c26a0791986772b,Santiago del Estero,2017-Q4,4,24
2024-Q4,2025-05-23,de9af94b2ba4cd69ebde52e6d2cb3b99978cd6c1b9078fcdf92b7a04c044cbfb,Santiago del Estero,2018-Q1,4,24
2025-Q1,2025-07-21,941f92d5c21e9161787de5b4e43ae05a20e4686f1ed50dca5075922018981eba,Santiago del Estero,2018-Q2,4,24
2025-Q2,2025-11-13,29caa6d368008d48b067d3a46bf6aca74228c05d1917689bb2cbe8ca67ebb2db,Santiago del Estero,2018-Q3,4,24
2025-Q3,2026-01-23,6d17557c4ff62c84619447e396e20b431be459b08e2ebadf8f775b007b26b330,Santiago del Estero,2018-Q4,4,24
2025-Q4,2026-06-17,0f0a3dcfab985ff3ffb50131919c71398b7fc593a3465179e0d7c45fb310b2a7,Santiago del Estero,2019-Q1,2,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2019-Q2,4,24
2026-Q1,2026-08-12,df31a6fd552cb677dcb3da3cb628667273fc515b5eb9949cc38002244b325b5c,Santiago del Estero,2019-Q3,4,24
